model,accuracy,precision,recall,f1
Random Forest Classifier,0.8771331058020477,0.8775510204081632,0.589041095890411,0.7049180327868853
LightGBM Classifier,0.863481228668942,0.8,0.6027397260273972,0.6875
XGBoost Classifier,0.8532423208191127,0.7884615384615384,0.5616438356164384,0.656
Logistic Regression,0.7849829351535836,0.6086956521739131,0.3835616438356164,0.47058823529411764
