cluster_hierarchical,discounted_price_mean,discounted_price_median,discounted_price_count,actual_price_mean,actual_price_median,actual_price_count,discount_percentage_mean,discount_percentage_median,discount_percentage_count,discount_value_mean,discount_value_median,discount_value_count,rating_mean,rating_median,rating_count,rating_count_mean,rating_count_median,rating_count_count,log_rating_count_mean,log_rating_count_median,log_rating_count_count,suggested_profile
0,800.3058767123288,425.0,730,2145.3908493150684,1204.0,730,61.90821917808219,61.0,730,1345.0849726027398,800.0,730,4.033287671232877,4.1,730,6500.1671232876715,1884.5,730,7.426516143916751,7.541945468677358,730,nichado_acessivel
1,33550.0,30990.0,47,52719.78723404255,49990.0,47,34.48936170212766,37.0,47,19169.787234042553,17000.0,47,4.257446808510638,4.3,47,8761.91489361702,4703.0,47,8.453309337859144,8.456168489578463,47,nichado_caro
2,1075.3522727272727,624.0,88,2177.284090909091,1495.0,88,53.85227272727273,59.5,88,1101.9318181818182,705.5,88,4.153409090909091,4.15,88,149482.11363636365,107686.5,88,11.74518567261123,11.586988793259508,88,popular_acessivel
3,1600.4536444444445,999.0,450,2227.3088,1500.0,450,26.75111111111111,28.0,450,626.8551555555556,400.0,450,4.151893095768374,4.2,449,14590.246666666666,8914.5,450,8.952563401221164,9.095543140085969,450,popular_acessivel
4,10684.48,9694.5,150,18260.373333333333,18999.0,150,41.846666666666664,38.0,150,7575.893333333333,6000.0,150,4.155333333333333,4.2,150,12596.053333333333,8907.0,150,8.441097084937953,9.094694436281435,150,premium
