cluster_kmeans,discounted_price_mean,discounted_price_median,discounted_price_count,actual_price_mean,actual_price_median,actual_price_count,discount_percentage_mean,discount_percentage_median,discount_percentage_count,discount_value_mean,discount_value_median,discount_value_count,rating_mean,rating_median,rating_count,rating_count_mean,rating_count_median,rating_count_count,log_rating_count_mean,log_rating_count_median,log_rating_count_count,suggested_profile
0,895.953745318352,399.0,534,2194.86202247191,1199.0,534,61.00187265917603,60.0,534,1298.9082771535582,800.0,534,3.9132958801498123,4.0,534,3056.114232209738,935.0,534,6.683124564723229,6.841587510723648,534,nichado_acessivel
1,36420.666666666664,32999.0,33,60087.242424242424,54990.0,33,39.06060606060606,38.0,33,23666.575757575756,22643.0,33,4.248484848484848,4.3,33,8117.909090909091,3837.0,33,8.290906360469343,8.252706676567644,33,nichado_caro
2,1427.2922531293464,849.0,719,2488.4895132127954,1500.0,719,39.65368567454799,41.0,719,1061.1972600834492,600.0,719,4.207381615598886,4.2,718,18241.724617524338,10725.0,719,9.146319870694548,9.280425979542873,719,misto
3,13700.0,13244.5,132,22103.454545454544,19999.0,132,39.00757575757576,33.0,132,8403.454545454546,7896.0,132,4.172727272727272,4.2,132,14386.848484848484,11591.0,132,8.766370405099325,9.35751864249977,132,popular_caro
4,1353.9574468085107,709.0,47,2448.851063829787,1599.0,47,49.87234042553192,54.0,47,1094.8936170212767,700.0,47,4.16595744680851,4.1,47,209609.72340425532,178912.0,47,12.155392520392109,12.094654933150762,47,popular_acessivel
