term,count_rating_alto,relative_freq_rating_alto,count_rating_baixo,relative_freq_rating_baixo,relative_freq_diff
not,3328.0,0.010467087488874002,1330.0,0.015156349712827057,-0.004689262223953055
cable,2283.0,0.007180396856099563,349.0,0.00397711733065913,0.003203279525440433
remote,315.0,0.0009907249275827256,304.0,0.003464308505789042,-0.0024735835782063163
product,5196.0,0.01634224356736458,1622.0,0.01848390919865074,-0.002141665631286163
noise,0.0,0.0,162.0,0.0018461117695323184,-0.0018461117695323184
mouse,505.0,0.0015883050426326235,0.0,0.0,0.0015883050426326235
call,0.0,0.0,139.0,0.0015840094812653843,-0.0015840094812653843
installation,493.0,0.001550563140629472,0.0,0.0,0.001550563140629472
room,0.0,0.0,133.0,0.0015156349712827058,-0.0015156349712827058
bass,0.0,0.0,130.0,0.0014814477162913666,-0.0014814477162913666
water,697.0,0.0021921754746830465,322.0,0.003669432035737077,-0.0014772565610540306
charging,1584.0,0.004981931064415991,309.0,0.0035212872641079405,0.0014606438003080505
bad,0.0,0.0,128.0,0.0014586562129638072,-0.0014586562129638072
voice,0.0,0.0,124.0,0.0014130732063086882,-0.0014130732063086882
heater,0.0,0.0,123.0,0.0014016774546449084,-0.0014016774546449084
average,0.0,0.0,118.0,0.0013446986963260097,-0.0013446986963260097
excellent,409.0,0.001286369826607412,0.0,0.0,0.001286369826607412
fast,998.0,0.0031388681832620956,164.0,0.0018689032728598778,0.0012699649104022178
body,0.0,0.0,110.0,0.0012535326830157717,-0.0012535326830157717
case,0.0,0.0,110.0,0.0012535326830157717,-0.0012535326830157717
before,0.0,0.0,107.0,0.0012193454280244325,-0.0012193454280244325
hours,0.0,0.0,107.0,0.0012193454280244325,-0.0012193454280244325
audio,0.0,0.0,107.0,0.0012193454280244325,-0.0012193454280244325
plastic,0.0,0.0,107.0,0.0012193454280244325,-0.0012193454280244325
can,2024.0,0.006365800804531544,665.0,0.007578174856413529,-0.0012123740518819844
music,0.0,0.0,105.0,0.001196553924696873,-0.001196553924696873
fit,0.0,0.0,105.0,0.001196553924696873,-0.001196553924696873
usb,1430.0,0.004497576655375548,290.0,0.0033047679824961254,0.0011928086728794224
working,819.0,0.0025758848117150863,330.0,0.0037605980490473152,-0.001184713237332229
pro,372.0,0.001169998962097695,0.0,0.0,0.001169998962097695
video,366.0,0.0011511280110961192,0.0,0.0,0.0011511280110961192
use,1984.0,0.006239994464521039,648.0,0.007384447078129274,-0.0011444526136082343
ear,0.0,0.0,99.0,0.0011281794147141946,-0.0011281794147141946
them,0.0,0.0,98.0,0.0011167836630504148,-0.0011167836630504148
may,0.0,0.0,97.0,0.001105387911386635,-0.001105387911386635
camera,713.0,0.0022424980106872487,100.0,0.0011395751663779742,0.0011029228443092745
minutes,0.0,0.0,95.0,0.0010825964080590756,-0.0010825964080590756
samsung,344.0,0.0010819345240903415,0.0,0.0,0.0010819345240903415
phone,1275.0,0.004010077087834842,257.0,0.0029287081775913938,0.001081368910243448
have,1926.0,0.006057575271505807,437.0,0.004979943477071747,0.00107763179443406
brand,342.0,0.0010756442070898164,0.0,0.0,0.0010756442070898164
android,339.0,0.0010662087315890284,0.0,0.0,0.0010662087315890284
mic,0.0,0.0,93.0,0.0010598049047315162,-0.0010598049047315162
speed,804.0,0.002528707434211147,130.0,0.0014814477162913666,0.0010472597179197803
mode,332.0,0.0010441926220871901,0.0,0.0,0.0010441926220871901
led,0.0,0.0,91.0,0.0010370134014039566,-0.0010370134014039566
years,328.0,0.0010316119880861396,0.0,0.0,0.0010316119880861396
picture,327.0,0.001028466829585877,0.0,0.0,0.001028466829585877
job,0.0,0.0,89.0,0.0010142218980763971,-0.0010142218980763971
because,322.0,0.0010127410370845639,0.0,0.0,0.0010127410370845639
