term,count_popular,relative_freq_popular,count_nao_popular,relative_freq_nao_popular,relative_freq_diff
product,1566.0,0.011772046276319845,5252.0,0.01926109566735369,-0.0074890493910338436
phone,852.0,0.006404714832327272,680.0,0.002493820459596441,0.00391089437273083
watch,716.0,0.005382365985852496,500.0,0.001833691514409148,0.003548674471443348
battery,700.0,0.005262089650973111,601.0,0.002204097200319796,0.003057992450653315
easy,315.0,0.0023679403429378997,1476.0,0.005413057350535805,-0.0030451170075979053
camera,538.0,0.004044291760319334,275.0,0.0010085303329250314,0.0030357614273943023
very,858.0,0.006449818457907042,2422.0,0.008882401695797912,-0.0024325832378908705
use,650.0,0.0048862261044750315,1982.0,0.007268753163117862,-0.0023825270586428308
remote,0.0,0.0,561.0,0.002057401879167064,-0.002057401879167064
good,3243.0,0.024378509625865425,7208.0,0.026434496871722276,-0.002055987245856851
cable,687.0,0.00516436512888361,1945.0,0.007133059991051585,-0.001968694862167975
water,162.0,0.0012177978906537771,857.0,0.0031429472556972794,-0.0019251493650435023
but,1584.0,0.011907357153059154,2730.0,0.010011955668673947,0.001895401484385207
budget,249.0,0.0018718004615604351,0.0,0.0,0.0018718004615604351
boat,248.0,0.0018642831906304734,0.0,0.0,0.0018642831906304734
bass,243.0,0.0018266968359806656,0.0,0.0,0.0018266968359806656
installation,0.0,0.0,490.0,0.0017970176841209649,-0.0017970176841209649
nice,470.0,0.003533117337081946,1404.0,0.005149005772460888,-0.0016158884353789419
sound,488.0,0.003668428213821254,592.0,0.002171090753060431,0.0014973374607608232
video,197.0,0.0014809023732024326,0.0,0.0,0.0014809023732024326
android,192.0,0.0014433160185526248,0.0,0.0,0.0014433160185526248
original,0.0,0.0,389.0,0.001426611998210317,-0.001426611998210317
earphones,183.0,0.0013756605801829704,0.0,0.0,0.0013756605801829704
call,178.0,0.0013380742255331625,0.0,0.0,0.0013380742255331625
display,344.0,0.002585941199906786,342.0,0.0012542449958558573,0.0013316962040509288
material,0.0,0.0,361.0,0.0013239252734034048,-0.0013239252734034048
has,587.0,0.004412638035887452,846.0,0.0031026060423802785,0.0013100319935071734
heating,0.0,0.0,356.0,0.0013055883582593134,-0.0013055883582593134
connectivity,172.0,0.001292970599953393,0.0,0.0,0.001292970599953393
dual,171.0,0.0012854533290234313,0.0,0.0,0.0012854533290234313
hours,168.0,0.0012629015162335467,0.0,0.0,0.0012629015162335467
these,168.0,0.0012629015162335467,0.0,0.0,0.0012629015162335467
may,167.0,0.001255384245303585,0.0,0.0,0.001255384245303585
rate,165.0,0.0012403497034436618,0.0,0.0,0.0012403497034436618
audio,165.0,0.0012403497034436618,0.0,0.0,0.0012403497034436618
money,311.0,0.0023378712592180533,974.0,0.0035720310700690203,-0.001234159810850967
made,0.0,0.0,335.0,0.001228573314654129,-0.001228573314654129
ram,163.0,0.0012253151615837386,0.0,0.0,0.0012253151615837386
decent,162.0,0.0012177978906537771,0.0,0.0,0.0012177978906537771
wireless,161.0,0.0012102806197238154,0.0,0.0,0.0012102806197238154
clean,0.0,0.0,326.0,0.0011955668673947644,-0.0011955668673947644
please,0.0,0.0,323.0,0.0011845647183083095,-0.0011845647183083095
room,0.0,0.0,322.0,0.0011808973352794912,-0.0011808973352794912
smartwatch,157.0,0.001180211536003969,0.0,0.0,0.001180211536003969
speaker,156.0,0.0011726942650740076,0.0,0.0,0.0011726942650740076
storage,155.0,0.001165176994144046,0.0,0.0,0.001165176994144046
average,155.0,0.001165176994144046,0.0,0.0,0.001165176994144046
useful,0.0,0.0,317.0,0.0011625604201353998,-0.0011625604201353998
pro,0.0,0.0,312.0,0.0011442235049913083,-0.0011442235049913083
home,0.0,0.0,307.0,0.0011258865898472168,-0.0011258865898472168
